sIP,domain,subcat
198.246.102.49,cdc.gov,science|regional|health
216.49.176.33,lds.org,society|regional
54.69.134.181,miniclip.com,games
37.72.173.157,femjoy.com,adult
206.112.186.66,lowes.com,shopping
66.151.130.32,opentable.com,recreation
198.81.200.2,sciencedirect.com,science
15.216.241.18,hp.com,world|regional|computers
23.198.144.45,kohls.com,shopping
207.108.220.154,bestbuy.com,regional|shopping
98.129.100.83,zocdoc.com,health
198.153.202.150,gap.com,shopping
216.115.110.118,answers.yahoo.com,society|reference
192.81.240.190,rockstargames.com,games
208.93.0.150,livejournal.com,world|arts|computers
199.204.31.83,travelocity.com,recreation
207.171.3.201,entrepreneur.com,business
141.0.174.40,xnxx.com,adult
74.117.179.22,nudevista.com,adult
206.132.6.134,reuters.com,news|regional|business
166.78.225.124,complex.com,society
199.15.160.100,deviantart.com,arts
54.80.7.219,zappos.com,shopping
203.2.218.214,abc.net.au,arts|regional
85.232.57.16,skyscanner.net,world|recreation
137.135.42.143,givemesport.com,sports
50.18.188.137,digg.com,society
198.35.26.96,wiktionary.org,reference
97.107.137.164,theonion.com,news|recreation
185.3.92.89,huisgenoot.com,world
121.241.247.61,thehindu.com,news|regional
208.75.122.14,constantcontact.com,regional|computers|business
208.253.22.120,foodandwine.com,home|recreation
204.9.224.11,familysearch.org,society
216.118.89.130,iafd.com,adult
68.169.80.241,ftvgirls.com,adult
172.224.251.210,marriott.com,recreation|regional
74.125.28.102,translate.google.com,kids_and_teens|world|science
54.230.219.62,zh.greatfire.org,circum
64.124.61.10,whitepages.com,reference
198.50.131.127,infowars.com,society
204.93.155.69,mrskin.com,adult
66.254.98.132,worldsex.com,adult
171.66.121.222,sciencemag.org,science
134.170.29.82,xbox.com,kids_and_teens|games
157.166.226.25,cnn.com,science|kids_and_teens|arts|health|news
74.125.28.100,plus.google.com,world|computers
54.194.42.5,hawaaworld.com,world
23.59.189.89,news.com.au,news|arts|regional
173.192.3.190,adam4adam.com,adult
157.166.239.102,cartoonnetwork.com,kids_and_teens|arts
206.220.43.92,mtv.com,arts
140.98.193.141,ieee.org,science|computers
74.125.28.94,google.com.sa,world
196.38.114.178,sars.gov.za,world
2.17.45.41,aa.com,recreation|regional
64.94.140.201,allrecipes.com,home
66.155.35.222,justjared.com,society
173.192.128.45,fatakat.com,world
208.93.105.173,yellowpages.com,reference
107.170.93.98,cupcakebridge.com,circum
23.59.189.106,target.com,regional|shopping|business
208.77.248.169,usnews.com,news
74.217.81.233,nationalgeographic.com,news|science
170.37.25.140,staples.com,regional|shopping
206.29.177.10,t-mobile.com,business
74.205.22.3,fixya.com,home
166.78.40.244,pcgamer.com,games
43.253.133.72,post.japanpost.jp,society
216.131.114.237,strongvpn.com,vpn
23.201.61.210,store.steampowered.com,shopping|games
172.233.17.240,fafsa.ed.gov,kids_and_teens|reference
69.174.243.184,researchgate.net,science
209.67.254.80,manhunt.net,adult
173.193.209.232,jsoftj.com,world
134.170.65.86,office.com,computers|business
165.224.212.39,ed.gov,regional|reference
166.70.35.136,space.com,kids_and_teens|science
199.181.133.45,games.espn.go.com,sports
54.88.59.132,howstuffworks.com,kids_and_teens|reference|science
199.167.42.108,fontsquirrel.com,kids_and_teens
206.17.85.131,bedbathandbeyond.com,shopping
63.64.130.25,24hourfitness.com,health
172.224.252.119,travelzoo.com,recreation
172.233.60.20,store.apple.com,computers
199.227.51.26,nintendo.com,kids_and_teens|games
74.125.28.101,google.com,computers|shopping|kids_and_teens|regional|society|world
74.125.28.99,ejabat.google.com,world
199.102.234.33,tripadvisor.com,recreation
162.79.29.12,usda.gov,science
199.66.166.210,mercola.com,health
163.192.187.17,latimes.com,news|regional|business|sports
209.126.235.135,thekitchn.com,home
159.53.224.21,www.chase.com,regional|business
162.13.25.27,timeout.com,arts|recreation
212.100.239.219,copyscape.com,society|reference
195.244.30.136,deezer.com,arts
194.132.198.165,spotify.com,arts
223.165.27.13,indiatimes.com,regional
74.115.2.240,hsselite.com,vpn
198.252.206.140,stackoverflow.com,computers|reference
199.168.13.77,nature.com,science
