sIP,domain,subcat
184.73.236.82,history.com,teens|arts|business
204.236.235.200,tmz.com,arts
184.29.106.57,cbc.ca,news|arts|regional|health|sports
192.230.66.165,kooora.com,world
134.178.63.172,bom.gov.au,teens|regional|science
206.220.43.92,mtv.com,arts
208.75.122.14,constantcontact.com,regional|computers|business
166.70.35.137,livescience.com,science
198.101.191.145,spine-health.com,health
128.232.233.16,cambridge.org,regional|shopping|reference
192.41.161.236,acs.org,science
199.204.31.83,travelocity.com,recreation
15.216.241.18,hp.com,world|regional|computers
134.67.21.34,epa.gov,science
203.2.218.214,abc.net.au,arts|regional
129.228.25.181,nick.com,teens|arts|games
171.66.121.222,sciencemag.org,science
213.133.127.174,dict.cc,reference
216.115.110.118,answers.yahoo.com,society|reference
198.35.26.96,wiktionary.org,reference
208.85.92.79,gaiaonline.com,teens|arts
109.201.152.98,vintage-erotica-forum.com,adult
216.49.176.33,lds.org,society|regional
204.13.164.188,tails.boum.org,circum
203.176.113.78,indianrail.gov.in,regional|business
199.85.71.128,tsn.ca,arts|sports
144.160.36.42,att.com,business
198.104.130.1,sulekha.com,society
158.106.84.60,squirt.org,adult
184.25.56.179,nfl.com,sports
152.106.6.100,uj.ac.za,world
216.250.115.137,republikein.com.na,world
216.34.181.45,slashdot.org,society|computers
212.71.236.107,landbou.com,world
192.211.12.20,zillow.com,regional|business
192.81.78.114,eqla3.com,world
155.199.148.111,fidelity.com,regional|business
170.146.234.214,adp.com,regional|business
212.58.244.20,bbc.co.uk,arts|business|world|teens|regional|sports|health|home|news|science
198.153.202.150,gap.com,shopping
128.83.40.145,utexas.edu,reference
202.154.164.95,hdfcbank.com,business
104.193.9.122,pipeline.infra.ooni.nu,circum
128.253.173.244,cornell.edu,reference
140.172.17.21,noaa.gov,science|regional
134.170.29.82,xbox.com,teens|games
208.43.245.148,m5zn.com,world
213.136.89.190,praag.co.za,world
129.176.217.220,mayoclinic.org,science|regional|health
208.85.40.50,pandora.com,arts
109.201.152.100,planetsuzy.org,adult
216.250.171.190,psychologytoday.com,health
23.101.196.141,msn.com,computers
1.209.122.23,riseup.net,circum
141.211.243.44,umich.edu,reference
212.100.239.219,copyscape.com,society|reference
192.193.219.58,citibank.com,business
206.112.186.66,lowes.com,shopping
199.102.234.33,tripadvisor.com,recreation
157.166.248.108,money.cnn.com,home|arts|business|news
166.78.40.244,pcgamer.com,games
169.229.216.200,berkeley.edu,science|reference
216.220.38.20,xe.com,teens|recreation
216.187.121.100,scout.com,sports
195.234.240.212,dailymail.co.uk,regional
208.93.0.150,livejournal.com,world|arts|computers
192.227.157.40,safervpn.com,vpn
166.78.225.124,complex.com,society
223.165.27.13,indiatimes.com,regional
38.229.72.16,torproject.org,circum
173.193.229.4,lumosity.com,reference
74.63.145.186,shopathome.com,home
104.130.112.72,express-vpn.com,vpn
192.81.240.190,rockstargames.com,games
128.122.119.209,nyu.edu,reference
98.129.100.83,zocdoc.com,health
107.21.36.85,mnn.com,science
72.233.16.130,boardgamegeek.com,games
209.114.51.96,gamesradar.com,games
216.35.221.76,npr.org,news|arts
204.9.224.11,familysearch.org,society
54.225.210.86,dorkly.com,games
43.253.133.72,post.japanpost.jp,society
54.80.7.219,zappos.com,shopping
69.147.76.173,flickr.com,world|computers
199.66.166.210,mercola.com,health
107.170.93.98,cupcakebridge.com,circum
54.69.134.181,miniclip.com,games
54.194.42.5,hawaaworld.com,world
82.196.1.165,crypto.cat,circum
54.187.115.34,tomshardware.com,home|computers|world
119.81.109.23,cricbuzz.com,sports
185.3.92.89,huisgenoot.com,world
173.193.209.232,jsoftj.com,world
72.166.186.151,state.gov,society|regional
54.164.68.43,popsci.com,teens|science
141.0.174.40,xnxx.com,adult
52.74.69.52,zomato.com,recreation|regional
216.136.1.150,united.com,recreation|regional
137.187.25.43,nih.gov,society|regional|health
173.192.3.190,adam4adam.com,adult
63.240.4.179,forbes.com,news|business
170.20.0.18,cbsnews.com,news|arts|business
66.254.98.132,worldsex.com,adult
85.232.57.16,skyscanner.net,world|recreation
54.174.139.140,wired.com,arts|computers
197.80.203.123,kyknet.dstv.com,world
207.108.220.136,telegraph.co.uk,regional|health|sports
216.115.110.119,tv.yahoo.com,arts
64.70.72.166,addictinggames.com,games
137.135.42.143,givemesport.com,sports
63.143.45.2,biblehub.com,society
54.246.159.107,livescore.com,sports
134.213.2.238,hm.com,world|regional|shopping|business
206.17.85.131,bedbathandbeyond.com,shopping
199.181.133.45,games.espn.go.com,sports
207.198.114.123,digitaltrends.com,home
38.69.47.251,merriam-webster.com,reference|business
54.243.140.38,menshealth.com,society|health
98.139.199.204,autos.yahoo.com,home|shopping
23.6.108.215,jcpenney.com,shopping
23.207.61.142,emedicine.medscape.com,health
208.113.148.140,oglaf.com,adult
62.146.26.38,dict.leo.org,world|reference
137.227.241.91,usgs.gov,science
202.67.53.202,square-enix.com,teens|games
199.30.80.32,stumbleupon.com,computers|reference
204.227.127.201,weather.gov,news|regional|science
72.5.2.60,fatwallet.com,home
199.181.132.250,espnfc.com,teens
107.20.226.78,leagueoflegends.com,teens|games
199.59.88.246,cam4.com,adult
170.37.25.140,staples.com,regional|shopping
23.105.170.38,proxify.com,vpn
208.94.153.100,southwest.com,recreation|regional
107.21.120.232,bleacherreport.com,sports
206.29.177.10,t-mobile.com,business
23.23.171.117,metacritic.com,arts
198.252.206.140,stackoverflow.com,computers|reference
176.65.66.66,elsevier.com,science|reference
67.135.105.16,hulu.com,arts
54.174.118.57,sciencedaily.com,teens|science
163.192.187.17,latimes.com,news|regional|business|sports
140.98.193.141,ieee.org,science|computers
172.233.29.95,www.kaiserpermanente.org,health|business
162.79.29.12,usda.gov,science
157.166.239.102,cartoonnetwork.com,teens|arts
54.88.59.132,howstuffworks.com,teens|reference|science
172.233.17.240,fafsa.ed.gov,teens|reference
205.251.253.116,getlantern.org,circum
69.174.243.184,researchgate.net,science
23.59.189.106,target.com,regional|shopping|business
207.108.220.154,bestbuy.com,regional|shopping
23.212.53.190,economictimes.indiatimes.com,news|regional|business
66.151.130.32,opentable.com,recreation
54.163.241.169,www.edx.org,reference
64.210.192.54,rotoworld.com,sports
50.18.188.137,digg.com,society
124.153.79.225,hindustantimes.com,news|regional
198.51.132.180,yelp.com,home
151.207.240.133,patents.uspto.gov,health
54.164.120.232,vpnintouch.com,vpn
207.171.3.201,entrepreneur.com,business
216.118.89.130,iafd.com,adult
23.198.162.41,zara.com,business
23.201.61.210,store.steampowered.com,shopping|games
50.17.211.188,myfitnesspal.com,health
23.59.189.89,news.com.au,news|arts|regional
199.15.160.100,deviantart.com,arts
97.107.137.164,theonion.com,news|recreation
198.81.200.2,sciencedirect.com,science
23.23.191.68,netflix.com,shopping
64.106.177.144,scientificamerican.com,science
107.21.200.171,alexa.com,computers
141.138.130.12,williamhill.com,regional|games
209.67.254.80,manhunt.net,adult
199.119.112.23,bitmask.net,circum
206.132.6.134,reuters.com,news|regional|business
195.244.30.136,deezer.com,arts
69.60.134.134,makeupalley.com,health
198.50.131.127,infowars.com,society
157.166.226.25,cnn.com,science|teens|arts|health|news
213.146.191.132,newsnow.co.uk,news|regional|sports
192.249.116.218,alkasir.com,circum
