domain,sIP,shared,subcat
history.com,184.73.236.82,1,teens
history.com,184.73.236.82,1,arts
history.com,184.73.236.82,1,business
tmz.com,204.236.235.200,0,arts
cbc.ca,184.29.106.57,1,news
cbc.ca,184.29.106.57,1,arts
cbc.ca,184.29.106.57,1,regional
cbc.ca,184.29.106.57,1,health
cbc.ca,184.29.106.57,1,sports
kooora.com,192.230.66.165,0,world
bom.gov.au,134.178.63.172,1,teens
bom.gov.au,134.178.63.172,1,regional
bom.gov.au,134.178.63.172,1,science
mtv.com,206.220.43.92,0,arts
constantcontact.com,208.75.122.14,1,regional
constantcontact.com,208.75.122.14,1,computers
constantcontact.com,208.75.122.14,1,business
livescience.com,166.70.35.137,0,science
spine-health.com,198.101.191.145,0,health
cambridge.org,128.232.233.16,1,regional
cambridge.org,128.232.233.16,1,shopping
cambridge.org,128.232.233.16,1,reference
acs.org,192.41.161.236,0,science
travelocity.com,199.204.31.83,0,recreation
hp.com,15.216.241.18,1,world
hp.com,15.216.241.18,1,regional
hp.com,15.216.241.18,1,computers
epa.gov,134.67.21.34,0,science
abc.net.au,203.2.218.214,1,arts
abc.net.au,203.2.218.214,1,regional
nick.com,129.228.25.181,1,teens
nick.com,129.228.25.181,1,arts
nick.com,129.228.25.181,1,games
sciencemag.org,171.66.121.222,0,science
dict.cc,213.133.127.174,0,reference
answers.yahoo.com,216.115.110.118,1,society
answers.yahoo.com,216.115.110.118,1,reference
wiktionary.org,198.35.26.96,0,reference
gaiaonline.com,208.85.92.79,1,teens
gaiaonline.com,208.85.92.79,1,arts
vintage-erotica-forum.com,109.201.152.98,0,adult
lds.org,216.49.176.33,1,society
lds.org,216.49.176.33,1,regional
tails.boum.org,204.13.164.188,0,circum
indianrail.gov.in,203.176.113.78,1,regional
indianrail.gov.in,203.176.113.78,1,business
tsn.ca,199.85.71.128,1,arts
tsn.ca,199.85.71.128,1,sports
att.com,144.160.36.42,0,business
sulekha.com,198.104.130.1,0,society
squirt.org,158.106.84.60,0,adult
nfl.com,184.25.56.179,0,sports
uj.ac.za,152.106.6.100,0,world
republikein.com.na,216.250.115.137,0,world
slashdot.org,216.34.181.45,1,society
