imf_region,country_code
la,ag
la,ar
la,bs
la,bb
la,bz
la,bo
la,br
la,cl
la,co
la,cr
la,dm
la,do
la,ec
la,sv
la,gd
la,gt
la,gy
la,ht
la,hn
la,jm
la,mx
la,ni
la,pa
la,py
la,pe
la,kn
la,lc
la,vc
la,sr
la,tt
la,uy
la,ve
la,bm
la,pm
me,af
me,dz
me,bh
me,dj
me,eg
me,ir
me,iq
me,jo
me,kw
me,lb
me,ly
me,mr
me,ma
me,om
me,pk
me,qa
me,sa
me,sd
me,sy
me,tn
me,ae
me,ye
af,ao
af,bj
af,bw
af,bf
af,bi
af,cv
af,cm
af,cf
af,td
af,km
af,cd
af,cg
af,ci
af,gq
af,er
af,et
af,ga
af,gm
af,gh
af,gn
af,gw
af,ke
af,ls
af,lr
af,mg
af,mw
af,ml
af,mu
af,mz
af,na
af,ne
af,ng
af,rw
af,st
af,sn
af,sc
af,sl
af,za
af,ss
af,sz
af,tz
af,tg
af,ug
af,zm
af,zw
as,gu
as,mo
as,pf
as,pw
as,to
as,fj
as,af
as,am
as,az
as,bh
as,bd
as,bt
as,bn
as,kh
as,cn
as,cy
as,ge
as,in
as,id
as,ir
as,iq
as,il
as,jp
as,jo
as,kz
as,kp
as,kr
as,kw
as,kg
as,la
as,lb
as,my
as,mv
as,mn
as,mm
as,np
as,om
as,pk
as,ps
as,ph
as,qa
as,ru
as,sa
as,sg
as,lk
as,sy
as,tj
as,th
as,tl
as,tr
as,tm
as,ae
as,uz
as,vn
as,ye
as,au
as,nz
as,tw
as,hk
sa,ar
sa,bo
sa,br
sa,cl
sa,co
sa,ec
sa,gy
sa,py
sa,pe
sa,sr
sa,uy
sa,ve
eu,ax
eu,al
eu,ad
eu,at
eu,by
eu,be
eu,ba
eu,bg
eu,hr
eu,cz
eu,cy
eu,dk
eu,ee
eu,fo
eu,fi
eu,fr
eu,de
eu,gi
eu,gr
eu,gl
eu,gg
eu,va
eu,hu
eu,is
eu,ie
eu,im
eu,it
eu,je
eu,lv
eu,li
eu,lt
eu,lu
eu,mk
eu,mt
eu,md
eu,mc
eu,me
eu,nl
eu,no
eu,pl
eu,pt
eu,ro
eu,ru
eu,sm
eu,rs
eu,sk
eu,si
eu,es
eu,se
eu,ch
eu,ua
eu,gb
na,us
na,ca
na,mx
na,pr
